Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std,Accuracy Mean ± Std,F1 Mean ± Std,Total_Time_Seconds
dataset_1,0.9879,0.008,0.9077,0.1258,0.9879 ± 0.0080,0.9077 ± 0.1258,152.14
dataset_2,0.9484,0.008,0.506,0.0456,0.9484 ± 0.0080,0.5060 ± 0.0456,120.36
dataset_3,0.8849,0.0094,0.5539,0.0349,0.8849 ± 0.0094,0.5539 ± 0.0349,126.96
dataset_4,0.8616,0.0097,0.4339,0.0299,0.8616 ± 0.0097,0.4339 ± 0.0299,93.26
dataset_5,0.9883,0.0064,0.9799,0.0123,0.9883 ± 0.0064,0.9799 ± 0.0123,146.01
dataset_6,0.9883,0.0064,0.9799,0.0123,0.9883 ± 0.0064,0.9799 ± 0.0123,149.94
dataset_7,0.9887,0.0086,0.9099,0.1265,0.9887 ± 0.0086,0.9099 ± 0.1265,140.89
dataset_8,0.9887,0.0086,0.9099,0.1265,0.9887 ± 0.0086,0.9099 ± 0.1265,186.78
dataset_9,0.974,0.006,0.8759,0.0409,0.9740 ± 0.0060,0.8759 ± 0.0409,287.1
dataset_10,0.9359,0.0077,0.4885,0.0423,0.9359 ± 0.0077,0.4885 ± 0.0423,249.08
dataset_11,0.8522,0.0078,0.1993,0.0314,0.8522 ± 0.0078,0.1993 ± 0.0314,227.78
dataset_12,0.8092,0.0041,0.0991,0.0184,0.8092 ± 0.0041,0.0991 ± 0.0184,165.24
dataset_13,0.971,0.0067,0.8665,0.0465,0.9710 ± 0.0067,0.8665 ± 0.0465,297.19
dataset_14,0.971,0.0067,0.8665,0.0465,0.9710 ± 0.0067,0.8665 ± 0.0465,316.68
dataset_15,0.9719,0.0048,0.8613,0.0218,0.9719 ± 0.0048,0.8613 ± 0.0218,252.77
dataset_16,0.9719,0.0048,0.8613,0.0218,0.9719 ± 0.0048,0.8613 ± 0.0218,251.87
