Dataset,Fold,Accuracy,F1,Best_Hidden_Layers,Best_Learning_Rate,Best_Alpha,Parameters,Fold_Time_Seconds
dataset_13,1,0.9676,0.8245,"(64, 64)",0.001,0.0001,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001}",27.97
dataset_13,2,0.9676,0.8001,"(64, 64)",0.01,0.0001,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",27.37
dataset_13,3,0.964,0.8766,"(64, 64)",0.01,0.0001,"{'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",25.41
dataset_13,4,0.982,0.9369,"(128,)",0.001,0.001,"{'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",33.15
dataset_13,5,0.9628,0.8071,"(128,)",0.01,0.001,"{'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",25.25
dataset_13,6,0.9652,0.84,"(64,)",0.01,0.0001,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",30.7
dataset_13,7,0.9724,0.8739,"(128,)",0.001,0.001,"{'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",36.44
dataset_13,8,0.9712,0.8925,"(64,)",0.001,0.001,"{'alpha': 0.001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",28.29
dataset_13,9,0.9784,0.9076,"(128,)",0.001,0.001,"{'alpha': 0.001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",36.68
dataset_13,10,0.9784,0.9061,"(64,)",0.01,0.0001,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",25.92
