Dataset,Fold,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds
dataset_2,1,0.9562,0.4702,rbf,10,scale,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",34.57
dataset_2,2,0.9353,0.4501,rbf,10,scale,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",35.8
dataset_2,3,0.9395,0.4497,rbf,10,scale,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",35.7
dataset_2,4,0.9436,0.4871,rbf,10,scale,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",37.09
dataset_2,5,0.9436,0.4818,rbf,10,scale,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",35.63
dataset_2,6,0.9489,0.4586,rbf,10,auto,"{'kernel': 'rbf', 'C': 10, 'gamma': 'auto'}",37.27
dataset_2,7,0.9447,0.5003,rbf,10,scale,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",35.76
dataset_2,8,0.9499,0.5331,rbf,10,scale,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",35.22
dataset_2,9,0.952,0.5376,rbf,10,scale,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",33.24
dataset_2,10,0.9395,0.4817,rbf,10,scale,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",37.88
