Dataset,Fold,Accuracy,F1,Best_Kernel,Best_C,Best_Gamma,Parameters,Fold_Time_Seconds
dataset_5,1,0.975,0.9574,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",31.29
dataset_5,2,0.9645,0.936,rbf,10,scale,"{'kernel': 'rbf', 'C': 10, 'gamma': 'scale'}",31.42
dataset_5,3,0.9833,0.9826,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",29.81
dataset_5,4,0.9791,0.9734,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",29.73
dataset_5,5,0.9875,0.9825,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",30.44
dataset_5,6,0.9729,0.9705,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",28.04
dataset_5,7,0.9843,0.9793,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",25.75
dataset_5,8,0.9875,0.9669,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",30.61
dataset_5,9,0.9885,0.9881,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",27.51
dataset_5,10,0.9802,0.9746,linear,10,N/A,"{'kernel': 'linear', 'C': 10, 'gamma': 'N/A'}",28.26
