Dataset,Fold,Accuracy,F1,Best_Max_Depth,Best_Min_Split,Best_Criterion,Parameters,Fold_Time_Seconds
dataset_16,1,0.9748,0.7646,,10,entropy,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10}",6.08
dataset_16,2,0.988,0.9207,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",8.0
dataset_16,3,0.9844,0.9292,,5,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}",5.93
dataset_16,4,0.9796,0.84,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",5.02
dataset_16,5,0.9772,0.8001,,10,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",5.35
dataset_16,6,0.982,0.835,10.0,10,entropy,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",7.28
dataset_16,7,0.9784,0.851,,10,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",5.7
dataset_16,8,0.9784,0.8341,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",7.33
dataset_16,9,0.9736,0.8084,10.0,10,entropy,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",6.38
dataset_16,10,0.9844,0.8892,,2,gini,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",5.44
