Dataset,Fold,Accuracy,F1,Best_N_Estimators,Best_Max_Depth,Best_Min_Samples_Split,Parameters,Fold_Time_Seconds
dataset_6,1,0.9979,0.9979,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",12.4
dataset_6,2,1.0,1.0,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",14.27
dataset_6,3,1.0,1.0,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",15.07
dataset_6,4,1.0,1.0,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",12.15
dataset_6,5,1.0,1.0,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",12.22
dataset_6,6,1.0,1.0,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",12.47
dataset_6,7,0.999,0.999,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",11.62
dataset_6,8,1.0,1.0,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",11.6
dataset_6,9,1.0,1.0,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",11.42
dataset_6,10,1.0,1.0,200,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",13.22
