Dataset,Fold,Accuracy,F1,Best_N_Estimators,Best_Max_Depth,Best_Min_Samples_Split,Parameters,Fold_Time_Seconds
dataset_4,1,0.8738,0.5254,200,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",13.34
dataset_4,2,0.877,0.5416,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",17.16
dataset_4,3,0.8717,0.5066,200,10.0,5,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",17.83
dataset_4,4,0.8685,0.5169,200,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",18.91
dataset_4,5,0.8622,0.5104,200,10.0,5,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",16.05
dataset_4,6,0.8643,0.4962,100,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",13.42
dataset_4,7,0.8706,0.4825,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",14.66
dataset_4,8,0.8737,0.5155,100,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",14.67
dataset_4,9,0.8685,0.5094,200,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",14.75
dataset_4,10,0.8643,0.4858,200,10.0,5,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",16.04
