Dataset,Fold,Accuracy,F1,Best_N_Estimators,Best_Max_Depth,Best_Min_Samples_Split,Parameters,Fold_Time_Seconds
dataset_16,1,0.9868,0.8886,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",26.7
dataset_16,2,0.994,0.9667,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",27.32
dataset_16,3,0.9904,0.9372,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",25.05
dataset_16,4,0.988,0.9441,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",27.5
dataset_16,5,0.9892,0.9425,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",28.39
dataset_16,6,0.988,0.8969,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",30.53
dataset_16,7,0.9892,0.9261,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",31.69
dataset_16,8,0.9904,0.9249,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",25.61
dataset_16,9,0.9892,0.907,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",28.67
dataset_16,10,0.9868,0.9434,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",32.26
