Dataset,Fold,Accuracy,F1,Best_N_Estimators,Best_Max_Depth,Best_Min_Samples_Split,Parameters,Fold_Time_Seconds
dataset_7,1,0.9979,0.998,100,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",13.26
dataset_7,2,1.0,1.0,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",11.85
dataset_7,3,1.0,1.0,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",13.69
dataset_7,4,1.0,1.0,200,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",15.33
dataset_7,5,1.0,1.0,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",14.07
dataset_7,6,0.9969,0.997,200,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",15.51
dataset_7,7,1.0,1.0,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",12.03
dataset_7,8,1.0,1.0,100,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",11.61
dataset_7,9,0.9948,0.9949,100,10.0,5,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",11.98
dataset_7,10,1.0,1.0,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",12.64
