Dataset,Fold,Accuracy,F1,Best_N_Estimators,Best_Max_Depth,Best_Min_Samples_Split,Parameters,Fold_Time_Seconds
dataset_12,1,0.8055,0.0839,100,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",7.1
dataset_12,2,0.8127,0.1069,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",7.35
dataset_12,3,0.8115,0.0919,100,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",7.23
dataset_12,4,0.8115,0.1247,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",10.62
dataset_12,5,0.8163,0.1191,100,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",9.8
dataset_12,6,0.8175,0.0915,200,10.0,5,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",8.17
dataset_12,7,0.8139,0.1205,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",11.38
dataset_12,8,0.8199,0.1258,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",8.75
dataset_12,9,0.8163,0.1516,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",11.03
dataset_12,10,0.8139,0.1153,100,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",9.35
